,Cost
0,0.384385842153923
1,0.4270749587567444
2,0.3866418476557756
3,0.3926914226037997
4,0.3723988815688455
5,0.3781380282980217
6,0.4298351417381008
7,0.4125824818252755
8,0.423180121558089
9,0.3715709329487683
10,0.4236288248680663
11,0.3556524664902972
12,0.4084888551554246
13,0.4294237173897987
14,0.3981232515159151
15,0.4166531150958092
16,0.40900412096322
17,0.3671822932280378
18,0.3751729720598797
19,0.4106675168110766
20,0.412536462460339
21,0.3786914253156045
22,0.3673980233445724
23,0.4051906052004863
24,0.4314753805912152
25,0.4121027719789258
26,0.4112615941923647
27,0.4159824585135522
28,0.4113521758608934
29,0.4242139561083867
30,0.3724000110928648
31,0.3576352325709233
32,0.4082068945458317
33,0.393722089357389
34,0.3696378955704298
35,0.3967024106293826
36,0.3766909682475749
37,0.3974604539514329
38,0.4290337445494113
39,0.3563492898371531
40,0.3804704538704146
41,0.4247164238478478
42,0.3746940199664368
43,0.3960911096365375
44,0.4313909607785565
45,0.3512473499237982
46,0.329679930694557
47,0.3769815264809236
48,0.3453621189557214
49,0.3458398571947261
50,0.3487587066629922
51,0.3366043699418144
52,0.3457896187393472
53,0.3504137565707005
54,0.3294870119143479
55,0.3512369844464055
56,0.3717777720904306
57,0.3699895529890304
58,0.3605511326336829
59,0.3519210141029917
60,0.3454136642794603
61,0.3775335475021797
62,0.3794307839275752
63,0.34895639557537
64,0.3616936775991421
65,0.3566262024103798
66,0.3598667897085382
67,0.3775446038062733
68,0.3760539723619365
69,0.3579283861375893
70,0.3495619314442202
71,0.366830926216922
72,0.3450180619524079
73,0.3712641853808937
74,0.3482252790571027
75,0.3426221809850642
76,0.3198408054846098
77,0.3280639234608589
78,0.3636515104886648
79,0.359225722293204
80,0.3289304572483976
81,0.3458092169450252
82,0.3580798420452022
83,0.3599513954544686
84,0.3170256303848849
85,0.3418046477869964
86,0.382608531021085
87,0.3372052550124997
88,0.3694044531618496
89,0.3462147527776419
90,0.4413742557217605
91,0.4458009762008973
92,0.4362548542396304
93,0.4339708145481722
94,0.4476959632436892
95,0.4289901738329919
96,0.4216736313336547
97,0.4392180364445578
98,0.4408000032151907
99,0.4214076906538606
100,0.4376470075744083
101,0.4140868839811111
102,0.4392805996766006
103,0.439787079786531
104,0.4216147363314302
105,0.4423421739240947
106,0.4341792022394389
107,0.437050428734917
108,0.4470778936327431
109,0.4476230350308035
110,0.4390941417791368
111,0.4379986999505649
112,0.4414237493830583
113,0.433506601485634
114,0.4299627863011333
115,0.4190781814847157
116,0.4395064618544175
117,0.4300374249171804
118,0.416388638836192
119,0.4489825175064584
120,0.4432890643569132
121,0.4413772519217984
122,0.4262823173099543
123,0.4268585038751553
124,0.426495753653847
125,0.4478508479334557
126,0.4324798905454576
127,0.4293648115613571
128,0.4188792020044668
129,0.4444835907089156
130,0.4111297243521759
131,0.448976155600564
132,0.4323219661506852
133,0.4481343139479364
134,0.4492614768863172
135,0.4470744959404217
136,0.4318088054490805
137,0.4411548804105369
138,0.4377993527202082
139,0.4453690960903642
140,0.446094497050445
141,0.4457829246907809
142,0.4471293908729751
143,0.4480405552107827
144,0.4537592317699527
145,0.4417054208149072
146,0.4543096521270415
147,0.4396532871505969
148,0.4473604451283222
149,0.4368455372631968
150,0.456107258818717
151,0.4337520860534417
152,0.4426275973772671
153,0.4255377242203703
154,0.4229171120371987
155,0.4334077901199621
156,0.4342953218369531
157,0.408853448522212
158,0.4493787086260133
159,0.4484335228002865
160,0.4583390931058241
161,0.4558396144210854
162,0.4461807925546327
163,0.4385330404630658
164,0.4377886356380661
165,0.4102354009931711
166,0.4569935874578014
167,0.4426785579620867
168,0.4404286696817542
169,0.4558548495365112
170,0.4300921846770165
171,0.4484085065743904
172,0.4479484603741668
173,0.4364408612359045
174,0.4232114766867049
175,0.4414819843036524
176,0.4519660951517488
177,0.4350118720476867
178,0.431110185797521
